,Rating,preprocessed_text
0,5.0,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friend parent waiter soumen da really courteous helpful
1,5.0,ambience good pleasant evening service prompt food good good experience soumen da kudos service
2,5.0,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing
3,5.0,soumen da arun great guy behavior sincerety good food course would like visit place
4,5.0,food ordered kodi drumstick basket mutton biryani good thanks pradeep served well enjoyed ambience also good
5,5.0,ambiance good service good food apradeecp subro best service food good papiya good hostess ur caption good restaurant
6,5.0,nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place
7,4.0,well reading many review finally visited place ambience good coming food crispy corn nice tawa fish ok basket biryani disappointed u biryani ok flattering claimed staff polite prompt especially pradeep suman
8,5.0,excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinner party
9,5.0,came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care u
10,5.0,service great food awesome service staff manab papiya courteous attentive would like come frequently place
11,5.0,good ambience amazing food good service friendly staff pradeep papiya shuvro definitely visit loved design menu card
12,5.0,food good soup expected starter ordered honey chilli lotus stem must try vegan ppl service great frequent visit papiya know experience also food really impressive
13,5.0,food good telangana kodiak fry must biriyani helped choose best dish attended visit
14,1.0,ordered corn cheese ball manchow soup paneer shashlik sizzler sizzler stale paneer smelling waiter impolite even accept mistake never going
15,5.0,food ambience fantastic waiter manav maji really quick service cheese ball must try starter scrumptious
16,4.0,came lunch food good tasty tried buffet item veg tasty ambience service also good staff courteous
17,5.0,best thing place food favorite go dish definitely alfredo pasta although item good well service behavior staff attended soumen da extremely polite definitely visit soon
18,5.0,polite friendly staff nice ambience good spread menu drink awesome service good manav looking forward seeing
19,5.0,food really good vegetarian item including paneer mushroom kofta additionally service papiya shuvro really good
20,5.0,beautiful cozy classy time place truly recommended special day percent corporate discount treat cotorie well without burning hole ur pocket also interior done well love vibe menu honey chilli lotus stem basket biryani sizzling brownie favourite also loved tomato basil shorba different creamy standard restaurant definitely making visit beyond flavour special mention papiya hostess evening excellent service
21,4.0,please good quite expensive coming taste rate cant click better picture wen visit day time pic
22,4.0,service good fast even people polite well behaving manav pradeep good hope everyone behaves way
23,5.0,farewell feast recently enjoyed well good management boy gave complimentary food made u happy food perfect dessert starter wonderful
24,5.0,excellent experience mouthwatering food good ambience must go place hyderabad served shubhro papiya awesome behaviour enjoyable evening friend
25,5.0,place good live music superb beautiful voice food nice n loved lightning also nice
26,5.0,sonalin great voice must visit place became fan food good star side live music lightening everything awesome
27,5.0,heard voice beautiful amazing voice love voice way sings became fan sonalin priyadarshini good place must visit food also nice
28,5.0,sonalin good singer city beautiful face beautiful face must visit place beautiful live music loved loved food well good lightning
29,4.0,food descent enough desert option also good starrers also tasty one bad experience ee waiting time even though booked table prior time
30,3.0,short review decent bread starter bad shaam savera little screwed daal makhni case better ambience night importantly good quantity wanted give option extensive ambience better night friend day like much prefer ambience go night food ordered hara bhara kebab shaam savera daal makhni rotis raita yes vegetarian good part quantity excited see shaam savera menu take want order close messed real bad especially color daal makhni big chunk garlic clove spoiled creamy bread raita decent hara bhara kebab decent soft extra outer coating peanut peanut fan kebab ask skip step conclusion looked like made food hurry would like give place another try hoping mine one odd case thing change know
31,5.0,excellent food good service soumen da ambience good live music food served timely decor restaurant amazing well
